"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"FZD.slide2_image32.2020_11_05","WT","WT","WT","enhanced","WT"
"FZD.slide2_image34.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide2_image36_left.2020_11_04","WT","WT","enhanced","WT","WT"
"FZD.slide2_image36_right.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide2_image37.2020_11_04","WT","inhibited","WT","WT","WT"
"FZD.slide2_image4.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide2_image4.2020_11_05","WT","WT","enhanced","enhanced","WT"
"FZD.slide2_image40.2020_11_04","WT","WT","WT","enhanced","WT"
"FZD.slide2_image42.2020_11_04","WT","WT","WT","WT","TVC alignment"
"FZD.slide2_image7.2020_11_05","WT","WT","enhanced","WT","WT"
"FZD.slide2_image9.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide2_image9.2020_11_05","WT","WT","WT","enhanced","WT"
"Gata.image1.2020_06_17","WT","WT","WT","WT","WT"
"Gata.image1.2020_06_17.1","WT","WT","enhanced","enhanced","WT"
"Gata.image2_left.2020_06_17","WT","inhibited","WT","WT","TVC alignment"
"Gata.image2_right.2020_06_17","WT","WT","WT","WT","WT"
"Gata.image2.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Gata.image3.2020_06_17","WT","WT","WT","WT","WT"
"Gata.image3.2020_06_17.1","WT","WT","WT","WT","WT"
"Gata.image4_left.2020_06_17","WT","WT","WT","WT","WT"
"Gata.image4_right.2020_06_17","WT","WT","WT","WT","WT"
"Gata.image4.2020_06_17","inhibited","WT","WT","WT","WT"
"Gata.image5.2020_06_17","WT","inhibited","WT","WT","TVC alignment"
"Gata.image5.2020_06_17.1","WT","WT","enhanced","enhanced","WT"
"Gata.image6_left.2020_06_17","WT","WT","WT","WT","WT"
"Gata.image6_right.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Gata.image7_left.2020_06_17","inhibited","WT","WT","WT","WT"
"Gata.image7_right.2020_06_17","WT","WT","WT","enhanced","WT"
"Gata.slide1_image1.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image10_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image10_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image11_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image11_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image12.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image13.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image14_left.2020_02_06","inhibited","WT","WT","enhanced","WT"
"Gata.slide1_image14_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Gata.slide1_image15_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image15_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image16_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image17.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image18_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image18_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image19_left.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image19_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image2.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image20_left.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Gata.slide1_image20_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image3_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image3_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image5.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide1_image6_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image6_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image7_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image7_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide1_image9.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image1.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Gata.slide2_image10.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image11_left.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image11_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image12_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image12_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image13.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image14.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image15_left.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image15_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image16_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image16_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image17_left.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Gata.slide2_image17_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image18_left.2020_02_06","inhibited","WT","WT","enhanced","WT"
"Gata.slide2_image18_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image19_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image2_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Gata.slide2_image2_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Gata.slide2_image20.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image21.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image22.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image23.2020_02_06","inhibited","WT","WT","WT","WT"
"Gata.slide2_image3_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Gata.slide2_image3_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image4_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image5.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image6.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Gata.slide2_image7_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image7_right.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image8_left.2020_02_06","WT","WT","WT","WT","WT"
"Gata.slide2_image9.2020_02_06","WT","WT","WT","WT","WT"
"Gna.L.S.image1.2020_06_17","WT","WT","WT","enhanced","WT"
"Gna.L.S.image10.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image11.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image12_left.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image13.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Gna.L.S.image14_left.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image14_right.2020_06_17","inhibited","WT","WT","WT","WT"
"Gna.L.S.image15_left.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image16.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Gna.L.S.image17_left.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image18.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image19_left.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image19_right.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image2.2020_06_17","inhibited","WT","WT","WT","WT"
"Gna.L.S.image20_left.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image20_right.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Gna.L.S.image3_left.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image3_right.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image4_right.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Gna.L.S.image6_left.2020_06_17","inhibited","WT","WT","WT","WT"
"Gna.L.S.image6_right.2020_06_17","WT","WT","WT","WT","WT"
"Gna.L.S.image7.2020_06_17","inhibited","WT","WT","WT","WT"
"Gna.L.S.image8.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Gna.L.S.image9.2020_06_17","inhibited","WT","WT","enhanced","WT"
"Gna.L.S.slide1_image10.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image12.2020_10_07","inhibited","inhibited","WT","WT","WT"
"Gna.L.S.slide1_image17.2020_10_07","WT","WT","WT","WT","WT"
"Gna.L.S.slide1_image19.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image2.2020_10_07","WT","WT","WT","WT","WT"
"Gna.L.S.slide1_image22_left.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image23.2020_10_07","WT","WT","WT","WT","WT"
"Gna.L.S.slide1_image25.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image3.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image33.2020_10_07","inhibited","inhibited","WT","WT","WT"
"Gna.L.S.slide1_image37_left.2020_10_07","WT","WT","WT","WT","WT"
"Gna.L.S.slide1_image37_right.2020_10_07","inhibited","inhibited","WT","WT","WT"
"Gna.L.S.slide1_image4.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image40.2020_10_07","WT","WT","WT","enhanced","WT"
"Gna.L.S.slide1_image43.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image45.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image5_right.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide1_image52.2020_10_07","inhibited","inhibited","WT","WT","WT"
"Gna.L.S.slide1_image8_left.2020_10_07","inhibited","WT","WT","enhanced","WT"
"Gna.L.S.slide1_image8_right.2020_10_07","WT","WT","WT","WT","WT"
"Gna.L.S.slide1_image9.2020_10_07","inhibited","inhibited","WT","WT","WT"
"Gna.L.S.slide2_image1.2020_10_07","WT","WT","WT","WT","WT"
"Gna.L.S.slide2_image10.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide2_image14.2020_10_07","inhibited","WT","WT","enhanced","WT"
"Gna.L.S.slide2_image21_left.2020_10_07","WT","WT","WT","WT","WT"
"Gna.L.S.slide2_image21_right.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide2_image28_left.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide2_image28_right.2020_10_07","inhibited","WT","WT","enhanced","WT"
"Gna.L.S.slide2_image7.2020_10_07","inhibited","WT","WT","WT","WT"
"Gna.L.S.slide2_image9.2020_10_07","inhibited","WT","WT","enhanced","WT"
"Gna12.13.image1.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image1.2020_06_17","WT","WT","WT","WT","TVC alignment"
"Gna12.13.image10.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image10.2020_06_17","WT","WT","WT","WT","WT"
"Gna12.13.image12_right.2020_01_10","WT","WT","enhanced","WT","WT"
"Gna12.13.image12.2020_06_17","WT","WT","WT","WT","WT"
"Gna12.13.image13.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image14_left.2020_06_17","enhanced","WT","WT","enhanced","WT"
"Gna12.13.image14_right.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Gna12.13.image14.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image15_right.2020_06_17","WT","WT","WT","enhanced","WT"
"Gna12.13.image15.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image16.2020_01_10","WT","WT","WT","WT","TVC disposition"
"Gna12.13.image2.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image2.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Gna12.13.image3_left.2020_06_17","inhibited","WT","WT","enhanced","WT"
"Gna12.13.image3.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image4_left.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image4_right.2020_01_10","WT","WT","WT","WT","WT"
"Gna12.13.image4.2020_06_17","WT","WT","WT","WT","WT"
"Gna12.13.image5.2020_06_17","WT","WT","WT","WT","WT"
"Gna12.13.image6.2020_01_10","enhanced","WT","enhanced","WT","WT"
"Gna12.13.image7.2020_01_10","WT","WT","WT","enhanced","WT"
"Gna12.13.image7.2020_06_17","WT","WT","WT","WT","WT"
"Gna12.13.image9.2020_01_10","WT","inhibited","WT","WT","TVC alignment"
"Gna12.13.slide1_image12.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide1_image17.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Gna12.13.slide1_image20.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Gna12.13.slide1_image21_left.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Gna12.13.slide1_image30.2020_10_06","inhibited","WT","WT","WT","WT"
"Gna12.13.slide1_image35.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide1_image38.2020_10_06","WT","WT","WT","enhanced","WT"
"Gna12.13.slide1_image39.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Gna12.13.slide1_image6.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide1_image8.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image10.2020_10_06","WT","WT","enhanced","WT","WT"
"Gna12.13.slide2_image13_left.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image13_right.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image17.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image18.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Gna12.13.slide2_image2_left.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image2_right.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image22.2020_10_06","WT","WT","enhanced","WT","WT"
"Gna12.13.slide2_image23.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Gna12.13.slide2_image28.2020_10_06","WT","WT","WT","enhanced","WT"
"Gna12.13.slide2_image29.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Gna12.13.slide2_image30.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image32_left.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image32_right.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image33_left.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Gna12.13.slide2_image33_right.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image34.2020_10_06","WT","WT","WT","WT","WT"
"Gna12.13.slide2_image4.2020_10_06","inhibited","WT","WT","enhanced","WT"
"Gna12.13.slide2_image5.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Gna12.13.slide2_image6.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Gna12.13.slide2_image9.2020_10_06","WT","WT","WT","WT","WT"
"NDE.image1.2020_06_17","inhibited","WT","WT","WT","WT"
"NDE.image10_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image10_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image11_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image11_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image12.2020_06_17","inhibited","WT","WT","WT","WT"
"NDE.image13.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image14.2020_06_17","WT","WT","enhanced","enhanced","WT"
"NDE.image15_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image16.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image17_left.2020_06_17","WT","WT","WT","WT","TVC alignment"
"NDE.image17_right.2020_06_17","inhibited","inhibited","WT","WT","WT"
"NDE.image18.2020_06_17","inhibited","WT","WT","WT","WT"
"NDE.image19_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image19_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image2_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image2_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image20_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image21_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image21_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image3_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image3_right.2020_06_17","WT","WT","enhanced","enhanced","WT"
"NDE.image4_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image4_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image5_left.2020_06_17","WT","WT","WT","WT","TVC disposition"
"NDE.image5_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image6_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image6_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image8_left.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image8_right.2020_06_17","WT","WT","WT","WT","WT"
"NDE.image9.2020_06_17","inhibited","WT","WT","WT","WT"
"Paxillin.image1.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image10.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image11_right.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image12.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image13.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image14_left.2020_07_14","inhibited","WT","WT","WT","WT"
"Paxillin.image14_right.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image15.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image16.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image17.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image18_left.2020_07_14","inhibited","WT","WT","WT","WT"
"Paxillin.image18_right.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image19_left.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image2.2020_07_14","inhibited","WT","WT","WT","TVC alignment"
"Paxillin.image20.2020_07_14","inhibited","WT","WT","WT","WT"
"Paxillin.image3.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image4.2020_07_14","inhibited","WT","WT","WT","WT"
"Paxillin.image6.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image7.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image8.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image9_left.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.image9_right.2020_07_14","WT","WT","WT","WT","WT"
"Paxillin.slide1_image1_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image1_right.2019_08_29","inhibited","WT","enhanced","enhanced","WT"
"Paxillin.slide1_image10.2019_08_29","WT","WT","enhanced","enhanced","WT"
"Paxillin.slide1_image12.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image13_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image13_right.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image16.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image18.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide1_image19.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image2.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image21.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image22.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image23_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image24.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image25.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide1_image26_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image27.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image28_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image28_right.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image3_left.2019_08_29","WT","WT","WT","enhanced","WT"
"Paxillin.slide1_image3_right.2019_08_29","WT","WT","enhanced","enhanced","WT"
"Paxillin.slide1_image30_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image30_right.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Paxillin.slide1_image31_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image31_right.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image4.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Paxillin.slide1_image5.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide1_image6.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide1_image7.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide1_image8.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide1_image9.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image1.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Paxillin.slide2_image10.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image12_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image12_right.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image14.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image15.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide2_image16.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image17.2019_08_29","WT","WT","WT","enhanced","TVC alignment"
"Paxillin.slide2_image18_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide2_image18_right.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Paxillin.slide2_image19.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide2_image2_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image2_right.2019_08_29","inhibited","WT","enhanced","WT","WT"
"Paxillin.slide2_image20.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide2_image21_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image21_right.2019_08_29","inhibited","inhibited","WT","WT","WT"
"Paxillin.slide2_image23_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide2_image24_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image24_right.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image25.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide2_image26.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Paxillin.slide2_image3.2019_08_29","inhibited","WT","WT","WT","WT"
"Paxillin.slide2_image4.2019_08_29","WT","WT","WT","WT","TVC disposition"
"Paxillin.slide2_image6.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image7_left.2019_08_29","WT","inhibited","WT","WT","WT"
"Paxillin.slide2_image8_left.2019_08_29","WT","WT","WT","WT","WT"
"Paxillin.slide2_image8_right.2019_08_29","inhibited","inhibited","WT","WT","WT"
"Paxillin.slide2_image9.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Rab5.image1_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Rab5.image1_right.2020_07_23","inhibited","WT","WT","WT","WT"
"Rab5.image1.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image10.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image10.2020_07_23","inhibited","WT","WT","enhanced","WT"
"Rab5.image11.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image11.2020_07_23","WT","WT","enhanced","enhanced","WT"
"Rab5.image12_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Rab5.image12_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image12.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image13_left.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image13_right.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image13_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image14_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image14.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image15_left.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image16_left.2020_07_14","inhibited","WT","WT","WT","WT"
"Rab5.image16_left.2020_07_23","WT","WT","WT","enhanced","TVC disposition"
"Rab5.image16_right.2020_07_23","WT","WT","WT","enhanced","WT"
"Rab5.image17_left.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image17_left.2020_07_23","inhibited","WT","WT","enhanced","WT"
"Rab5.image17_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image18_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image18.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image19_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Rab5.image19_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image19.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image2_left.2020_07_14","inhibited","WT","WT","WT","WT"
"Rab5.image2.2020_07_23","inhibited","WT","WT","WT","WT"
"Rab5.image20_left.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image20_left.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image20_right.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image20_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image21_left.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image21_right.2020_07_23","inhibited","WT","enhanced","enhanced","WT"
"Rab5.image3_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Rab5.image3_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image3.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image4.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image5_left.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image5_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Rab5.image5_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image6_left.2020_07_23","inhibited","inhibited","WT","WT","TVC alignment"
"Rab5.image6_right.2020_07_23","inhibited","WT","WT","enhanced","WT"
"Rab5.image6.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image7_left.2020_07_23","WT","WT","WT","enhanced","WT"
"Rab5.image7_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image8_left.2020_07_23","WT","WT","enhanced","WT","TVC alignment"
"Rab5.image8_right.2020_07_14","WT","WT","WT","WT","WT"
"Rab5.image8_right.2020_07_23","inhibited","WT","enhanced","enhanced","WT"
"Rab5.image9_left.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image9_right.2020_07_23","WT","WT","WT","WT","WT"
"Rab5.image9.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image10.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image11.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image12_left.2020_07_14","inhibited","WT","WT","WT","WT"
"Rabep.image12_right.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image13.2020_07_14","inhibited","WT","WT","WT","WT"
"Rabep.image14.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image17.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image18_left.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image18_right.2020_07_14","WT","WT","enhanced","enhanced","WT"
"Rabep.image19.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image2.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image20.2020_07_14","WT","WT","WT","WT","WT"
"Rabep.image3.2020_07_14","WT","WT","enhanced","enhanced","WT"
