"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"BMP.slide1_image13.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image17.2020_11_05","WT","WT","WT","WT","WT"
"BMP.slide1_image18_right.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide1_image19_left.2020_11_05","WT","WT","enhanced","WT","WT"
"BMP.slide1_image19_right.2020_11_05","WT","WT","WT","enhanced","WT"
"BMP.slide1_image19.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image2.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image20.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image21_left.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide1_image21.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image24.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide1_image24.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image25_left.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image28_left.2020_11_05","WT","WT","enhanced","WT","WT"
"BMP.slide1_image28_right.2020_11_05","WT","WT","WT","WT","WT"
"BMP.slide1_image3.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide1_image4.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide1_image6.2020_11_05","inhibited","WT","WT","WT","WT"
"BMP.slide1_image8_left.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide1_image8_right.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide1_image9.2020_11_05","WT","WT","WT","WT","TVC alignment"
"BMP.slide2_image10_left.2020_11_04","WT","WT","WT","WT","TVC disposition"
"BMP.slide2_image10_right.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image10.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image12_left.2020_11_04","WT","WT","WT","WT","TVC alignment"
"BMP.slide2_image12_right.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide2_image13.2020_11_04","WT","WT","enhanced","WT","TVC alignment"
"BMP.slide2_image15_left.2020_11_04","WT","WT","WT","enhanced","WT"
"BMP.slide2_image15_right.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide2_image18_left.2020_11_05","WT","WT","WT","WT","WT"
"BMP.slide2_image18_right.2020_11_05","WT","WT","WT","WT","WT"
"BMP.slide2_image2_left.2020_11_05","inhibited","WT","enhanced","WT","WT"
"BMP.slide2_image2_right.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image2.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image20.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image22_left.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide2_image22_right.2020_11_04","WT","WT","WT","enhanced","WT"
"BMP.slide2_image23.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide2_image24.2020_11_05","WT","WT","WT","WT","WT"
"BMP.slide2_image25_left.2020_11_05","WT","WT","WT","WT","WT"
"BMP.slide2_image25_right.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image26_right.2020_11_05","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image27.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image28.2020_11_05","WT","WT","WT","WT","WT"
"BMP.slide2_image31.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide2_image34.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image35.2020_11_04","inhibited","WT","WT","enhanced","WT"
"BMP.slide2_image4.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image5.2020_11_04","WT","WT","WT","WT","TVC alignment"
"BMP.slide2_image7.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide2_image8_right.2020_11_05","WT","WT","enhanced","enhanced","WT"
"Col9a1.image1.2020_07_23","WT","WT","WT","WT","WT"
"Col9a1.image12_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Col9a1.image12_right.2020_07_23","WT","WT","WT","WT","TVC disposition"
"Col9a1.image13.2020_07_23","inhibited","WT","WT","WT","WT"
"Col9a1.image14.2020_07_23","inhibited","WT","enhanced","WT","WT"
"Col9a1.image15.2020_07_23","inhibited","WT","WT","WT","WT"
"Col9a1.image16_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Col9a1.image16_right.2020_07_23","WT","WT","WT","WT","WT"
"Col9a1.image17_left.2020_07_23","WT","WT","WT","WT","WT"
"Col9a1.image18_left.2020_07_23","inhibited","WT","WT","enhanced","WT"
"Col9a1.image18_right.2020_07_23","WT","WT","WT","WT","WT"
"Col9a1.image19_left.2020_07_23","inhibited","WT","enhanced","enhanced","WT"
"Col9a1.image19_right.2020_07_23","inhibited","WT","WT","WT","WT"
"Col9a1.image20.2020_07_23","inhibited","WT","WT","enhanced","WT"
"Col9a1.image3_left.2020_07_23","WT","WT","WT","WT","WT"
"Col9a1.image5_left.2020_07_23","WT","WT","WT","WT","WT"
"Col9a1.image5_right.2020_07_23","WT","WT","WT","WT","WT"
"Col9a1.image7.2020_07_23","WT","WT","WT","enhanced","WT"
