Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.0052245026,0.257845,0.2403612,-0.2970593,0.017854083,-0.002945851,0.45874682,0.44220877,-0.35735005,-0.03170799,0.012882388,0.365847,0.37230504,-0.1856765
0.29642814,0.3130816,0.33016205,-0.31153536,0.3036283,-0.30023706,0.13574417,0.035660315,0.055192415,-0.30243206,-0.30245864,0.18891212,-0.113943085,-0.3048061
0.3659836,0.4416911,0.45661008,-0.44472152,0.37698698,-0.3694744,0.28994212,0.1648841,-0.030345071,-0.38646013,-0.36676204,0.32410493,-0.04261494,-0.4157625
0.19605498,0.34629077,0.3479933,-0.36324295,0.208106,-0.19685797,0.35398617,0.2854499,-0.18213654,-0.21863163,-0.18833768,0.32905465,0.1540972,-0.3018879
-0.032201182,0.018518021,0.012541963,-0.03510086,-0.029930428,0.0319441,0.08133656,0.08742699,-0.070309654,0.043049347,0.031554658,0.05823224,0.08715164,-0.00411414
0.38318643,0.5201436,0.5307773,-0.52862906,0.3977833,-0.3855738,0.42969,0.30570602,-0.14937957,-0.416148,-0.37707832,0.43434685,0.07660563,-0.47848195
0.26721546,-0.024665585,0.014043988,0.0556544,0.25980705,-0.27511847,-0.41001263,-0.46134433,0.4575166,-0.22249304,-0.29950455,-0.25796014,-0.5120613,-0.059430506
0.32623053,0.311049,0.33163723,-0.3069429,0.33212665,-0.33099946,0.090601735,-0.018145883,0.11275761,-0.3288413,-0.3357234,0.16143356,-0.18043122,-0.31105223
0.4416389,0.4135276,0.44025716,-0.4038349,0.44829684,-0.44736555,0.10696945,-0.045064706,0.17101693,-0.44881946,-0.4526846,0.20790397,-0.26609114,-0.41557944
-0.13937746,0.12876095,0.10151688,-0.16872895,-0.12882496,0.14373273,0.40621978,0.42547265,-0.38679624,0.12181159,0.15992403,0.29415515,0.43189391,-0.052840665
0.17291008,0.34710202,0.3448733,-0.3715436,0.18527217,-0.17342766,0.40181363,0.34167776,-0.22816773,-0.19833694,-0.16316217,0.35753602,0.20495898,-0.2956726
0.3196159,0.42371556,0.4344513,-0.4308339,0.33138317,-0.32238764,0.3205887,0.21131755,-0.08431903,-0.34207723,-0.31749716,0.33589038,0.025135309,-0.39030397
0.34889603,0.40563753,0.4213212,-0.40794826,0.3586329,-0.35264364,0.24485803,0.12548912,-0.0004902565,-0.36502874,-0.3516149,0.2847666,-0.0696559,-0.38495016
-0.09048577,0.08150449,0.06417881,-0.109643854,-0.083306536,0.09303653,0.26523015,0.2793987,-0.2518729,0.0852389,0.102121,0.1902296,0.2869251,-0.033191323
0.290464,0.44415858,0.4503196,-0.4570345,0.30457407,-0.29188707,0.4070859,0.31143534,-0.1820721,-0.32043713,-0.28241915,0.39420822,0.13314414,-0.39865118
